FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active
,,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13,0,11,2
,,Tasmania,Australia,-42.8821,147.3272,221,13,153,55
,,,New Zealand,-40.9006,174.886,1479,19,1252,208
,,,Argentina,-38.4161,-63.6167,4428,218,1256,2954
,,Victoria,Australia,-37.8136,144.9631,1364,18,1293,53
,,,Chile,-35.6751,-71.543,16023,227,8580,7216
,,Australian Capital Territory,Australia,-35.4735,149.0124,106,3,103,0
,,South Australia,Australia,-34.9285,138.6007,438,4,420,14
,,New South Wales,Australia,-33.8688,151.2093,3025,41,2293,691
,,,Uruguay,-32.5228,-55.7658,643,17,417,209
,,Western Australia,Australia,-31.9505,115.8605,551,8,507,36
,,,South Africa,-30.5595,22.9375,5647,103,2073,3471
,,Queensland,Australia,-27.4698,153.0251,1033,6,948,79
,,,Eswatini,-26.5225,31.4659,100,1,12,87
,,,Paraguay,-23.4425,-58.4438,266,10,113,143
,,,Namibia,-22.9576,18.4904,16,0,8,8
,,,Botswana,-22.3285,24.6849,23,1,5,17
,,Reunion,France,-21.1151,55.5364,420,0,300,120
,,New Caledonia,France,-20.904305,165.618042,18,0,17,1
,,,Mauritius,-20.348404,57.552152,332,10,310,12
,,,Zimbabwe,-19.015438,29.154857,40,4,5,31
,,,Madagascar,-18.766947,46.869107,128,0,92,36
,,,Mozambique,-18.665695,35.529562,76,0,12,64
,,,Fiji,-17.7134,178.065,18,0,12,6
,,French Polynesia,France,-17.6797,-149.4068,58,0,50,8
,,,Bolivia,-16.2902,-63.5887,1110,59,117,934
,,,Brazil,-14.235,-51.9253,87187,6006,35935,45246
,,,Malawi,-13.254308,34.301525,37,3,7,27
,,,Zambia,-13.133897,27.849332,106,3,55,48
,,Mayotte,France,-12.8275,45.166244,539,4,235,300
,,Northern Territory,Australia,-12.4634,130.8456,28,0,25,3
,,,Comoros,-11.6455,43.3333,1,0,0,1
,,,Angola,-11.2027,17.8739,27,2,7,18
,,,Peru,-9.19,-75.0152,36976,1051,10405,25520
,,,Timor-Leste,-8.874217,125.727539,24,0,16,8
,,,Tanzania,-6.369028,34.888822,480,16,167,297
,,,Papua New Guinea,-6.314993,143.95555,8,0,0,8
,,,Seychelles,-4.6796,55.492,11,0,6,5
,,,Congo (Kinshasa),-4.322447,15.307045,572,31,73,468
,,,Congo (Brazzaville),-4.2634,15.2832,220,9,19,192
,,,Burundi,-3.3731,29.9189,11,1,4,6
,,,Rwanda,-1.9403,29.8739,243,0,104,139
,,,Ecuador,-1.8312,-78.1834,24934,900,1558,22476
,,,Gabon,-0.8037,11.6094,276,3,67,206
,,,Indonesia,-0.7893,113.9213,10118,792,1522,7804
,,,Kenya,-0.0236,37.9062,396,17,144,235
,,,Sao Tome and Principe,0.18636,6.613081,14,0,4,10
,,,Singapore,1.2833,103.8333,16169,15,1244,14910
,,,Uganda,1.373333,32.290275,83,0,52,31
,,,Equatorial Guinea,1.6508,10.2679,315,1,9,305
,,,Maldives,3.2028,73.2207,468,1,17,450
,,,Cameroon,3.848,11.5021,1832,61,934,837
,,,Suriname,3.9193,-56.0278,10,1,8,1
,,French Guiana,France,4,-53,126,1,94,31
,,,Malaysia,4.210484,101.975766,6002,102,4171,1729
,,,Brunei,4.5353,114.7277,138,1,124,13
,,,Colombia,4.5709,-74.2973,6507,293,1439,4775
,,,Guyana,4.860416,-58.93018,82,9,22,51
,,,Somalia,5.152149,46.199616,601,28,31,542
,,,Venezuela,6.4238,-66.5897,333,16,142,175
,,,Liberia,6.428055,-9.429499,141,16,45,80
,,,Central African Republic,6.6111,20.9394,50,0,10,40
,,,South Sudan,6.877,31.307,35,0,0,35
,,,Cote d'Ivoire,7.54,-5.5471,1275,14,574,687
,,,Sri Lanka,7.873054,80.771797,663,7,154,502
,,,Ghana,7.9465,-1.0232,2074,17,212,1845
,,,Sierra Leone,8.460555,-11.779889,124,7,21,96
,,,Panama,8.538,-80.7821,6532,188,576,5768
,,,Togo,8.6195,0.8248,116,9,65,42
,,,Nigeria,9.082,8.6753,1932,58,319,1555
,,,Ethiopia,9.145,40.4897,131,3,59,69
,,,Benin,9.3077,2.3158,64,1,33,30
,,,Costa Rica,9.7489,-83.7534,719,6,338,375
,,,Guinea,9.9456,-9.6966,1495,7,329,1159
,,,Trinidad and Tobago,10.6918,-61.2225,116,8,72,36
,,,Cambodia,11.55,104.9167,122,0,119,3
,,,Guinea-Bissau,11.8037,-15.1804,205,1,19,185
,,,Djibouti,11.8251,42.5903,1089,2,642,445
,,,Grenada,12.1165,-61.679,20,0,13,7
,,Curacao,Netherlands,12.1696,-68.99,16,1,13,2
,,Bonaire ,Netherlands,12.1784,-68.2385,5,0,0,5
,,,Burkina Faso,12.2383,-1.5616,645,43,506,96
,,Aruba,Netherlands,12.5211,-69.9683,100,2,79,19
,,,Sudan,12.8628,30.2176,442,31,39,372
,,,Nicaragua,12.865416,-85.207229,14,3,7,4
,,,Philippines,12.879721,121.774017,8488,568,1043,6877
,,,Saint Vincent and the Grenadines,12.9843,-61.2872,16,0,8,8
,,,Barbados,13.1939,-59.5432,81,7,39,35
,,,Gambia,13.4432,-15.3101,11,1,8,2
66,,Guam,US,13.4443,144.7937,145,5,0,140
,,,El Salvador,13.7942,-88.8965,395,10,119,266
,,,Saint Lucia,13.9094,-60.9789,17,0,15,2
,,,Vietnam,14.058324,108.277199,270,0,219,51
,,,Senegal,14.4974,-14.4524,933,9,334,590
,,Martinique,France,14.6415,-61.0242,178,14,83,81
69,,Northern Mariana Islands,US,15.0979,145.6739,14,2,0,12
,,,Eritrea,15.1794,39.7823,39,0,26,13
,,,Honduras,15.2,-86.2419,771,71,79,621
,,,Dominica,15.415,-61.371,16,0,13,3
,,,Chad,15.4542,18.7322,73,5,33,35
,,,Yemen,15.552727,48.516388,6,2,1,3
,,,Guatemala,15.7835,-90.2308,599,16,66,517
,,,Thailand,15.870032,100.992541,2954,54,2684,216
,,Guadeloupe,France,16.265,-61.551,151,12,95,44
